code,name,roe1,roe2,roe3,roe4,roe5,asset_ratio,pe,pb,dividend_yield,收益率
SH603519,立霸股份,13.91,12.91,18.57,12.88,11.9,0.36134535578055416,5.904,2.593,3.361,38.565303693766936
SH603026,胜华新材,45.83,13.43,18.23,13.05,12.04,0.23710684975785226,12.928,4.279,0.362,31.911702495049507
SZ300122,智飞生物,78.01,46.29,47.67,40.78,15.85,0.41235321900847227,19.328,6.423,0.67,29.598171125827815
SH601225,陕西煤业,27.24,23.18,21.52,22.91,26.59,0.3818098515695527,5.328,1.849,6.98,28.777433453453455
SH600873,梅花生物,35.95,26.32,10.99,10.68,11.06,0.44810083417897895,6.891,2.248,4.008,27.620276920040638
SH600809,山西汾酒,42.04,35.09,27.42,25.08,19.04,0.4796532520879087,42.402,15.83,0.687,27.14493466298759
SZ000529,广弘控股,15.25,16.64,15.39,11.67,11.88,0.48645110496965205,5.702,1.583,1.866,26.674310705717293
SZ300482,万孚生物,20.58,25.13,18.68,19.29,22.57,0.2783774553865067,11.389,3.231,0.939,26.274570322152957
SZ002597,金禾实业,22.09,15.5,19.42,25.15,35.88,0.3398244124261471,9.743,2.694,2.083,24.122018958636968
SH600176,中国巨石,30.15,14.68,14.34,17.97,18.38,0.463330843843788,8.11,2.209,3.272,23.282129805178794
SH600426,华鲁恒升,38.53,12.11,18.65,28.33,14.02,0.20757596610278295,10.344,2.84,2.288,23.24560977571539
SZ000848,承德露露,25.83,20.9,24.55,21.99,21.52,0.31817768893564335,16.007,3.669,0.0,22.92122196539014
SH603599,广信股份,23.59,10.93,10.43,10.73,13.17,0.3145777762847817,9.343,2.564,3.073,22.63683345863213
SZ000661,长春高新,28.81,31.22,28.54,20.85,15.99,0.23445571215223224,19.044,4.469,0.417,22.020135674648184
SH600618,氯碱化工,29.51,12.3877,18.9749,30.6385,40.8466,0.2361988211393788,6.718,1.578,3.895,21.237823670735338
SZ300037,新宙邦,22.43,12.03,10.68,12.37,12.45,0.373610269442702,18.387,4.4,0.811,21.17255050851145
SH600486,扬农化工,19.08,22.19,25.53,21.08,15.71,0.46980618278323555,17.305,3.801,0.631,20.197319072233462
SZ002821,凯莱英,16.09,18.16,19.92,18.88,17.93,0.16800184771401488,16.389,3.369,0.417,19.568597803587775
SZ002555,三七互娱,30.24,34.84,32.66,16.59,28.12,0.24796012273484697,14.194,4.174,3.298,18.93893960208539
SZ300327,中颖电子,30.32,21.08,20.82,20.5,18.04,0.22069402553976752,31.752,8.839,1.137,18.924673528092725
SZ300401,花园生物,15.96,12.09,20.63,21.7,16.07,0.3536032304873336,14.118,3.045,1.317,18.87494579473013
SZ300124,汇川技术,27.35,21.7,13.79,19.99,20.98,0.40190380670291426,46.166,10.425,0.411,18.707878524238623
SH600763,通策医疗,27.93,24.39,29.87,28.66,23.39,0.365363863688721,74.582,13.502,0.0,18.103563862594193
SH600273,嘉化能源,21.38,17.38,18.28,16.64,19.28,0.24993838601237217,6.499,1.281,6.39,17.915134726881057
SZ300575,中旗股份,13.99,14.37,12.18,19.04,12.28,0.47286835945576117,15.493,3.111,1.035,17.895151145355968
SZ000568,泸州老窖,31.15,28.27,25.5,21.81,20.3,0.3488520996627383,35.394,11.002,1.363,17.4516385815675
SH600563,法拉电子,26.66,20.46,18.23,19.48,19.56,0.24734323937226868,33.823,8.721,1.097,17.31429266620347
SH603968,醋化股份,10.1,15.11,14.63,14.51,12.53,0.35708822128523976,10.445,2.067,2.458,17.166686905696505
